 CURRENCY,NAME,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR
BAM,Bosnian Convertible Mark,0.029275191,0.032675841,0.028444111,0.027029292,0.022997231,0.025594331,0.027194261,0.027359251
KZT,Kazakhstani Tenge,3.18304638,3.295302026,2.797775973,2.745118575,2.493381713,2.889266634,5.157218782,4.908409528
PAB,Panamanian Balboa,0.021454623,0.022371364,0.018846588,0.018246896,0.016159311,0.015831713,0.015097758,0.014715664
GYD,Guyanese Dollar,4.381026311,4.545861152,3.787221857,3.720574094,3.279693838,3.280366651,3.128096547,2.99640342
YER,Yemeni Rial,4.41965224,4.776286272,4.117979539,3.920235879,3.471020019,3.403813106,3.247877376,3.677885781
MGA,Malagasy Ariary,42.05141888,47.42729226,41.83942598,41.09106666,35.87367008,40.90882016,48.70244511,49.15031756
KYD,Caymanian Dollar,0.01759291,0.018344787,0.015454232,0.014962457,0.01325108,0.012982005,0.012380164,0.012066956
MZN,Mozambican Metical,0.647927833,0.719239396,0.499434589,0.53919478,0.479931545,0.53811057,0.722726567,1.048196792
RSD,Serbian Dinar,1.435997277,1.768286246,1.519479723,1.55081512,1.346078658,1.588413104,1.688220729,1.721144055
SCR,Seychellois Rupee,0.234314522,0.268456371,0.253411228,0.23940101,0.192958331,0.208627265,0.197056759,0.196557128
AMD,Armenian Dram,8.084577398,8.130648631,7.269506054,7.363642518,6.543688209,7.519575094,7.304188671,7.121498408
AZN,Azerbaijan Manat,0.017238461,0.017838926,0.014813419,0.014323811,0.012676974,0.012397656,0.023583393,0.026513212
SBD,Solomon Islander Dollar,0.168318861,0.183071725,0.148398328,0.129385069,0.116254237,0.116153999,0.122845875,0.115056082
SLL,Sierra Leonean Leone,83.13666074,92.1700208,81.0403296,79.44486203,69.29112491,67.03808182,62.64629868,80.42110344
TOP,Tongan Pa'anga,0.040594899,0.041815632,0.03306419,0.031623736,0.030103037,0.030806992,0.033196478,0.034008929
BZD,Belizean Dollar,0.041836962,0.043624328,0.037419341,0.036481302,0.032156923,0.031582482,0.030118324,0.029357338
GMD,Gambian Dalasi,0.552456547,0.587248312,0.558801343,0.622466286,0.607590063,0.68383868,0.593955623,0.620265258
MWK,Malawian Kwacha,3.1322618,3.355704641,3.055032075,5.857253586,6.812765552,7.36530049,9.292670039,10.53288377
BIF,Burundian Franc,26.34627728,27.00223668,24.16132617,27.90386639,24.7237456,24.63313117,23.498456,24.6494736
HTG,Haitian Gourde,0.852436292,0.88926173,0.760459808,0.769101077,0.705515509,0.740304316,0.855154799,0.978003012
SOS,Somali Shilling,31.9352026,35.90603966,30.85186501,29.2421323,19.69819992,13.06063787,9.361557339,8.471884825
GNF,Guinean Franc,106.0931117,154.9216976,125.8952097,127.9766385,109.5278089,111.0997432,116.1365999,137.8563398
MNT,Mongolian Tughrik,30.73374758,27.51677805,25.91405888,25.13369623,26.50126979,29.87115737,30.10520036,36.50956224
MVR,Maldivian Rufiyaa,0.274619177,0.286353463,0.287410471,0.280454129,0.246106297,0.243808621,0.232656188,0.222647997
CDF,Congolese Franc,19.46345068,19.79865738,17.05616239,16.69890847,14.55953907,14.61164135,13.96001663,17.10241946
TJS,Tajikistani Somoni,0.093786161,0.098492164,0.08967584,0.086935328,0.077138088,0.081218262,0.10553666,0.115906455
KPW,North Korean Won,3.069711878,3.200878525,2.453158975,2.369994355,2.09950353,2.057170832,1.961862609,1.915228096
KGS,Kyrgyzstani Som,0.947765351,1.053668864,0.875612474,0.864924189,0.795797402,0.932273849,1.145939885,1.01839755
LRD,Liberian Dollar,1.480369,1.554809817,1.356954356,1.324390349,1.308096164,1.464432245,1.27817118,1.339125419
LSL,Basotho Loti,0.158528209,0.148322145,0.15228326,0.154355359,0.169187597,0.183080717,0.234230397,0.20203812
MMK,Burmese Kyat,0.137739396,0.143400442,0.120806628,15.64873309,15.90076187,16.35484613,19.72866829,20.04273429
